transaction_id,timestamp,hour,sender_upi_id,sender_name,receiver_upi_id,receiver_name,amount,transaction_type,device_id,location_city,latitude,longitude,network_type,device_trust_score,failed_pin_attempts,sender_account_age_days,is_new_payee,time_since_last_txn_sec,distance_from_last_txn_km,travel_speed_kmh,amount_to_user_avg_ratio,user_historical_txns,is_fraud,fraud_type
TXN_UPI_202608000010,2026-08-01 08:16:23,8,akanksha.reddy443@ybl,Akanksha Reddy,apollo.meds@bharatpe,Apollo Pharmacy,2486.29,P2M,DEV_IND_00029_SM-S918B,Pune,18.5285,73.8633,WIFI,0.86,0,986,0,1.0,1.14,4089.67,0.497,1,0,NONE
TXN_UPI_202608000011,2026-08-01 08:18:34,8,rajesh.chopra799@oksbi,Rajesh Chopra,varun.iyer780@ibl,Varun Iyer,138.6,P2P,DEV_IND_00710_Pixel8,Pune,18.4763,73.8387,WIFI,0.87,0,1103,0,1.0,5.26,18952.28,0.554,1,0,NONE
TXN_UPI_202608000012,2026-08-01 08:19:25,8,harsh.patel831@ibl,Harsh Patel,chaipoint.pos@sbi,Chai Point Express,183.74,P2M,DEV_IND_00054_OnePlus11,Chandigarh,30.7363,76.823,5G,0.87,0,1799,0,1.0,4.18,15059.36,0.037,1,0,NONE
TXN_UPI_202608000013,2026-08-01 08:20:21,8,sneha.mehta935@okhdfcbank,Sneha Mehta,flipkart.pay@icici,Flipkart Payments,9923.71,P2M,"DEV_IND_00783_iPhone15,2",Kolkata,22.5911,88.344,5G,0.88,0,1022,1,1.0,2.9,10434.74,3.969,1,0,NONE
TXN_UPI_202608000014,2026-08-01 08:20:55,8,pooja.verma402@apl,Pooja Verma,mulelayer57@ibl,Layering Mule Hub,53317.68,P2P,DEV_EMULATOR_8944,Kolkata,22.5791,88.3542,VPN_SUSPICIOUS,0.13,2,3,1,1.0,1653.99,5954365.74,21.327,1,1,MULE_FANOUT_SUSPICIOUS_VPN
TXN_UPI_202608000015,2026-08-01 08:21:31,8,neha.mehta738@okhdfcbank,Neha Mehta,reliance.retail@icici,Reliance Smart Bazaar,3659.94,P2M,"DEV_IND_00223_iPhone15,2",Jaipur,26.9576,75.8219,5G,0.89,0,1773,0,1.0,6.09,21923.3,14.64,1,0,NONE
TXN_UPI_202608000016,2026-08-01 08:22:10,8,pooja.verma653@okaxis,Pooja Verma,zomato.pay@hdfcbank,Zomato Online,1018.84,QR_SCAN,DEV_IND_00427_RedmiNote12,Kochi,9.9124,76.2536,5G,0.97,0,340,1,8170.0,2.58,1.14,0.849,1,0,NONE
TXN_UPI_202608000017,2026-08-01 08:24:52,8,ritika.kumar681@oksbi,Ritika Kumar,rajesh.chopra558@paytm,Rajesh Chopra,698.86,P2P,DEV_IND_00535_RedmiNote12,Ahmedabad,23.0469,72.5333,4G,0.9,0,635,1,1.0,4.76,17122.29,0.932,1,0,NONE
TXN_UPI_202608000018,2026-08-01 08:26:00,8,manish.patel934@barodampay,Manish Patel,blinkit.retail@hdfcbank,Blinkit Express,822.17,P2M,"DEV_IND_00314_iPhone15,2",Jaipur,26.8643,75.7857,4G,0.9,0,444,1,7380.0,5.35,2.61,0.329,1,0,NONE
TXN_UPI_202608000019,2026-08-01 08:26:18,8,divya.kumar378@oksbi,Divya Kumar,swiggy.orders@bharatpe,Swiggy Delivery,239.19,QR_SCAN,DEV_IND_00675_SM-S918B,Hyderabad,17.4018,78.5122,5G,0.99,0,1371,0,1.0,3.28,11813.37,0.957,1,0,NONE
TXN_UPI_202608000020,2026-08-01 08:27:20,8,priya.gupta23@oksbi,Priya Gupta,kavita.reddy289@ibl,Kavita Reddy,421.24,P2P,DEV_IND_00601_RedmiNote12,Kochi,9.9089,76.2753,4G,0.97,0,544,1,1.0,2.63,9450.27,0.936,1,0,NONE
TXN_UPI_202608000021,2026-08-01 08:30:06,8,pooja.verma985@okicici,Pooja Verma,zomato.pay@hdfcbank,Zomato Online,1019.59,QR_SCAN,DEV_IND_00247_RedmiNote12,Mumbai,19.0976,72.9241,4G,0.85,0,322,1,1.0,5.44,19572.58,0.408,1,0,NONE
TXN_UPI_202608000022,2026-08-01 08:30:17,8,varun.iyer10@apl,Varun Iyer,suspect.node814@ybl,Unknown Overseas Account,48230.09,P2P,DEV_UNKNOWN_4033,London,51.5242,-0.1137,VPN_SUSPICIOUS,0.21,0,1066,1,1.0,6513.44,23448366.47,40.192,1,1,IMPOSSIBLE_TRAVEL
TXN_UPI_202608000023,2026-08-01 08:31:13,8,sneha.mehta827@paytm,Sneha Mehta,chaipoint.pos@icici,Chai Point Express,110.14,BILL_PAY,"DEV_IND_00363_iPhone15,2",Hyderabad,17.3664,78.4833,5G,0.9,0,1490,0,1.0,2.1,7547.66,0.441,1,0,NONE
TXN_UPI_202608000024,2026-08-01 08:32:55,8,priya.gupta650@ibl,Priya Gupta,amazon.pay@hdfcbank,Amazon India,1509.04,P2M,DEV_IND_00721_OnePlus11,Hyderabad,17.3807,78.5103,5G,0.89,0,1088,0,15235.0,2.55,0.6,0.604,1,0,NONE
TXN_UPI_202608000025,2026-08-01 08:34:02,8,simran.verma995@ibl,Simran Verma,croma.retail@bharatpe,Croma Electronics,9712.15,P2M,DEV_IND_00567_RedmiNote12,Ahmedabad,23.0201,72.5893,4G,0.96,1,586,0,1.0,1.85,6671.01,8.093,1,0,NONE
TXN_UPI_202608000026,2026-08-01 08:36:17,8,nikhil.singh169@ybl,Nikhil Singh,uber.rides@razorpay,Uber India,1015.14,P2M,DEV_IND_00688_RedmiNote12,Delhi,28.604,77.2181,4G,0.94,0,275,0,1.0,1.42,5094.37,4.061,1,0,NONE
TXN_UPI_202608000027,2026-08-01 08:37:10,8,rohan.pandey533@okaxis,Rohan Pandey,reliance.retail@paytmqr,Reliance Smart Bazaar,1221.08,P2M,DEV_IND_00066_SM-S918B,Ahmedabad,22.9958,72.5639,5G,0.89,0,1655,1,1.0,3.07,11047.3,0.244,1,0,NONE
TXN_UPI_202608000028,2026-08-01 08:39:48,8,pooja.verma543@okicici,Pooja Verma,flipkart.pay@sbi,Flipkart Payments,16995.08,P2M,DEV_IND_00607_Pixel8,Delhi,28.6589,77.2578,5G,0.93,0,1640,0,1.0,6.91,24861.08,6.798,1,0,NONE
TXN_UPI_202608000029,2026-08-01 08:41:54,8,rajesh.chopra592@paytm,Rajesh Chopra,uber.rides@bharatpe,Uber India,407.77,P2M,DEV_IND_00110_SM-S918B,Lucknow,26.8705,80.9792,5G,0.98,0,153,1,1.0,4.21,15157.87,0.163,1,0,NONE
TXN_UPI_202608000030,2026-08-01 08:42:49,8,priya.kulkarni616@apl,Priya Kulkarni,kirana.merchant@icici,Local Kirana Store,256.15,QR_SCAN,"DEV_IND_00391_iPhone15,2",Pune,18.5365,73.8587,5G,0.89,0,826,0,1.0,1.8,6492.39,1.025,1,0,NONE
TXN_UPI_202608000031,2026-08-01 08:44:14,8,tanvi.joshi951@okhdfcbank,Tanvi Joshi,indianoil.fuel@paytmqr,Indian Oil Petrol,1990.05,QR_SCAN,DEV_IND_00677_Pixel8,Delhi,28.5657,77.2354,WIFI,0.98,0,1155,1,1.0,5.95,21421.32,2.653,1,0,NONE
TXN_UPI_202608000032,2026-08-01 08:44:54,8,amit.rao601@okhdfcbank,Amit Rao,croma.retail@bharatpe,Croma Electronics,20751.19,QR_SCAN,DEV_IND_00392_OnePlus11,Delhi,28.6298,77.2369,WIFI,0.88,0,1667,0,17454.0,3.25,0.67,8.3,1,0,NONE
TXN_UPI_202608000033,2026-08-01 08:46:54,8,tanvi.joshi86@okicici,Tanvi Joshi,chaipoint.pos@bharatpe,Chai Point Express,156.34,P2M,DEV_IND_00137_RedmiNote12,Ahmedabad,23.0279,72.5753,5G,0.94,0,1630,0,30834.0,0.72,0.08,0.208,1,0,NONE
TXN_UPI_202608000034,2026-08-01 08:47:44,8,arjun.deshmukh147@okaxis,Arjun Deshmukh,apollo.meds@bharatpe,Apollo Pharmacy,1510.33,P2M,DEV_IND_00518_OnePlus11,Chennai,13.1093,80.2491,4G,0.89,0,1553,0,22124.0,3.77,0.61,1.259,1,0,NONE
TXN_UPI_202608000035,2026-08-01 08:48:26,8,divya.kumar846@paytm,Divya Kumar,amazon.pay@razorpay,Amazon India,695.43,P2M,"DEV_IND_00375_iPhone15,2",Pune,18.4801,73.8412,4G,0.93,0,777,1,1.0,4.77,17156.71,2.782,1,0,NONE
TXN_UPI_202608000036,2026-08-01 08:51:25,8,sanjay.chopra385@barodampay,Sanjay Chopra,airtel.bills@paytmqr,Airtel Postpaid,969.29,P2M,DEV_IND_00250_SM-S918B,Pune,18.5009,73.8405,4G,0.85,0,673,1,1.0,2.76,9949.43,0.194,1,0,NONE
TXN_UPI_202608000037,2026-08-01 08:53:32,8,neha.saxena665@okicici,Neha Saxena,deepika.gupta874@okaxis,Deepika Gupta,229.63,P2P,DEV_IND_00673_Pixel8,Ahmedabad,22.9745,72.5684,4G,0.89,0,929,0,21152.0,5.34,0.91,0.919,1,0,NONE
TXN_UPI_202608000038,2026-08-01 08:56:08,8,kavita.mishra896@oksbi,Kavita Mishra,zomato.pay@bharatpe,Zomato Online,300.06,P2M,"DEV_IND_00399_iPhone15,2",Kolkata,22.5729,88.3904,4G,0.96,0,1979,1,1.0,2.72,9792.42,1.2,1,0,NONE
TXN_UPI_202608000039,2026-08-01 08:57:51,8,gaurav.pandey12@barodampay,Gaurav Pandey,airtel.bills@hdfcbank,Airtel Postpaid,1291.49,P2M,DEV_IND_00446_RedmiNote12,Mumbai,19.0308,72.9273,4G,0.9,0,1788,0,1.0,7.25,26088.13,5.166,1,0,NONE
TXN_UPI_202608000040,2026-08-01 08:58:24,8,manish.patel818@ibl,Manish Patel,pooja.joshi579@paytm,Pooja Joshi,160.86,P2P,DEV_IND_00734_RedmiNote12,Hyderabad,17.3777,78.4714,4G,0.95,0,48,0,10884.0,1.81,0.6,0.643,1,0,NONE
TXN_UPI_202608000041,2026-08-01 09:00:43,9,pooja.verma16@okaxis,Pooja Verma,indianoil.fuel@paytmqr,Indian Oil Petrol,860.25,P2M,DEV_IND_00307_OnePlus11,Chennai,13.078,80.297,4G,0.98,0,815,0,1.0,2.9,10441.25,1.912,1,0,NONE
TXN_UPI_202608000042,2026-08-01 09:03:05,9,deepika.kulkarni318@okaxis,Deepika Kulkarni,reliance.retail@sbi,Reliance Smart Bazaar,4344.68,QR_SCAN,DEV_IND_00191_OnePlus11,Hyderabad,17.4287,78.49,5G,0.9,0,1601,1,17645.0,4.87,0.99,9.655,1,0,NONE
TXN_UPI_202608000043,2026-08-01 09:05:06,9,kavita.mishra10@barodampay,Kavita Mishra,swiggy.orders@razorpay,Swiggy Delivery,300.49,QR_SCAN,DEV_IND_00579_OnePlus11,Delhi,28.6385,77.2356,5G,0.97,0,1651,0,1.0,3.77,13577.98,0.12,1,0,NONE
TXN_UPI_202608000044,2026-08-01 09:05:32,9,shreya.reddy840@ibl,Shreya Reddy,chaipoint.pos@paytmqr,Chai Point Express,167.39,P2M,DEV_IND_00649_RedmiNote12,Kolkata,22.5827,88.3545,4G,0.92,0,1505,0,1.0,1.48,5341.14,0.67,1,0,NONE
TXN_UPI_202608000045,2026-08-01 09:06:44,9,tanvi.joshi483@barodampay,Tanvi Joshi,indianoil.fuel@bharatpe,Indian Oil Petrol,1592.66,QR_SCAN,DEV_IND_00317_RedmiNote12,Chandigarh,30.7106,76.7323,5G,0.89,0,1682,1,1.0,5.16,18582.96,2.124,1,0,NONE
TXN_UPI_202608000046,2026-08-01 09:09:14,9,rahul.sharma585@barodampay,Rahul Sharma,swiggy.orders@sbi,Swiggy Delivery,514.38,QR_SCAN,DEV_IND_00180_RedmiNote12,Kolkata,22.531,88.3741,WIFI,0.97,0,1402,0,1.0,4.74,17073.65,2.058,1,0,NONE
TXN_UPI_202608000047,2026-08-01 09:11:08,9,aditya.rao833@ibl,Aditya Rao,makemytrip.travel@hdfcbank,MakeMyTrip Flight,25623.02,QR_SCAN,DEV_IND_00372_Pixel8,Kolkata,22.5462,88.371,5G,0.87,0,931,1,1.0,3.02,10887.19,34.164,1,0,NONE
TXN_UPI_202608000048,2026-08-01 09:14:08,9,harsh.patel525@okicici,Harsh Patel,makemytrip.travel@razorpay,MakeMyTrip Flight,17353.06,BILL_PAY,DEV_IND_00594_SM-S918B,Jaipur,26.8746,75.818,4G,0.96,0,1451,1,1.0,5.19,18668.28,3.471,1,0,NONE
TXN_UPI_202608000049,2026-08-01 09:15:57,9,karan.pandey775@okaxis,Karan Pandey,makemytrip.travel@bharatpe,MakeMyTrip Flight,15426.48,QR_SCAN,DEV_IND_00766_RedmiNote12,Chandigarh,30.7108,76.7702,WIFI,0.86,0,1769,0,897.0,2.66,10.66,6.171,1,0,NONE
TXN_UPI_202608000050,2026-08-01 09:18:23,9,sunita.mehta774@barodampay,Sunita Mehta,zomato.pay@paytmqr,Zomato Online,745.75,QR_SCAN,"DEV_IND_00383_iPhone15,2",Jaipur,26.8902,75.8157,4G,0.91,0,1172,0,1.0,3.75,13496.18,0.298,1,0,NONE
TXN_UPI_202608000051,2026-08-01 09:20:07,9,divya.kumar462@barodampay,Divya Kumar,makemytrip.travel@razorpay,MakeMyTrip Flight,4984.14,P2M,DEV_IND_00315_RedmiNote12,Delhi,28.5694,77.2507,5G,0.86,0,1423,1,1.0,6.41,23088.61,11.076,1,0,NONE
TXN_UPI_202608000052,2026-08-01 09:21:55,9,karan.nair466@barodampay,Karan Nair,amazon.pay@paytmqr,Amazon India,13576.41,QR_SCAN,DEV_IND_00316_RedmiNote12,Mumbai,19.0496,72.8719,4G,0.93,0,958,1,19375.0,2.99,0.56,30.17,1,0,NONE
TXN_UPI_202608000053,2026-08-01 09:23:10,9,arjun.singh606@paytm,Arjun Singh,croma.retail@icici,Croma Electronics,14437.9,P2M,DEV_IND_00308_OnePlus11,Kochi,9.9251,76.249,5G,0.95,0,1203,1,1.0,2.11,7612.88,57.752,1,0,NONE
TXN_UPI_202608000054,2026-08-01 09:23:28,9,sanjay.sharma833@ybl,Sanjay Sharma,suspect.node834@ybl,Unknown Overseas Account,73881.44,P2P,DEV_UNKNOWN_7920,Lagos,6.5232,3.3757,VPN_SUSPICIOUS,0.32,0,1093,1,1.0,7598.35,27354047.77,61.568,1,1,IMPOSSIBLE_TRAVEL
TXN_UPI_202608000055,2026-08-01 09:24:19,9,ritika.kumar327@barodampay,Ritika Kumar,zomato.pay@paytmqr,Zomato Online,620.87,P2M,DEV_IND_00715_SM-S918B,Kolkata,22.5553,88.3834,5G,0.91,0,1016,1,1.0,2.78,10007.98,0.248,1,0,NONE
TXN_UPI_202608000056,2026-08-01 09:25:16,9,divya.aggarwal384@ibl,Divya Aggarwal,airtel.bills@icici,Airtel Postpaid,203.0,P2M,DEV_IND_00645_RedmiNote12,Lucknow,26.8543,80.9073,4G,0.99,0,1368,0,33016.0,3.95,0.43,0.812,1,0,NONE
TXN_UPI_202608000057,2026-08-01 09:28:12,9,priya.gupta680@apl,Priya Gupta,tatapower.bill@sbi,Tata Power Electricity,2756.74,P2M,DEV_IND_00781_OnePlus11,Mumbai,19.1134,72.8411,4G,0.97,0,166,1,1872.0,5.66,10.89,2.297,1,0,NONE
TXN_UPI_202608000058,2026-08-01 09:29:45,9,naveen.singh222@barodampay,Naveen Singh,chaipoint.pos@paytmqr,Chai Point Express,48.65,P2M,DEV_IND_00288_RedmiNote12,Jaipur,26.9508,75.7597,WIFI,0.89,0,695,1,27345.0,5.07,0.67,0.01,1,0,NONE
TXN_UPI_202608000059,2026-08-01 09:32:40,9,gaurav.pandey155@barodampay,Gaurav Pandey,makemytrip.travel@hdfcbank,MakeMyTrip Flight,58525.27,QR_SCAN,DEV_IND_00626_OnePlus11,Bengaluru,12.9385,77.5847,4G,0.88,0,406,0,1.0,3.84,13810.38,130.056,1,0,NONE
TXN_UPI_202608000060,2026-08-01 09:33:12,9,karan.nair194@barodampay,Karan Nair,fastdrain.mule891@paytm,Mule Conduit 28,82396.42,P2P,DEV_CLONED_8433,Chandigarh,30.7512,76.7641,VPN_SUSPICIOUS,0.45,1,1602,1,1.0,2.47,8889.04,32.959,1,1,VELOCITY_DRAIN_BURST
TXN_UPI_202608000061,2026-08-01 09:34:19,9,sanjay.chopra543@okhdfcbank,Sanjay Chopra,croma.retail@paytmqr,Croma Electronics,14026.35,P2M,DEV_IND_00730_OnePlus11,Chandigarh,30.7689,76.7894,WIFI,0.98,0,456,0,2899.0,4.08,5.06,11.689,1,0,NONE
TXN_UPI_202608000062,2026-08-01 09:35:17,9,arjun.singh928@okhdfcbank,Arjun Singh,flipkart.pay@icici,Flipkart Payments,809.28,P2M,DEV_IND_00428_RedmiNote12,Delhi,28.609,77.1838,5G,0.9,0,316,1,1.0,2.52,9059.7,3.237,1,0,NONE
TXN_UPI_202608000063,2026-08-01 09:35:48,9,sanjay.chopra234@barodampay,Sanjay Chopra,croma.retail@paytmqr,Croma Electronics,43886.36,QR_SCAN,DEV_IND_00010_SM-S918B,Chandigarh,30.7216,76.7717,5G,0.96,0,694,0,1.0,1.49,5358.86,175.545,1,0,NONE
TXN_UPI_202608000064,2026-08-01 09:38:20,9,rahul.sharma270@okaxis,Rahul Sharma,makemytrip.travel@icici,MakeMyTrip Flight,29843.15,P2M,DEV_IND_00060_Pixel8,Mumbai,19.0931,72.9079,5G,0.95,0,1481,0,1.0,3.7,13322.15,24.869,1,0,NONE
TXN_UPI_202608000065,2026-08-01 09:38:31,9,shreya.mishra665@barodampay,Shreya Mishra,chaipoint.pos@paytmqr,Chai Point Express,195.84,QR_SCAN,DEV_IND_00259_SM-S918B,Lucknow,26.8859,80.9003,4G,0.97,0,402,1,1.0,6.3,22694.14,0.435,1,0,NONE
TXN_UPI_202608000066,2026-08-01 09:40:47,9,tanvi.verma150@ibl,Tanvi Verma,divya.kumar517@okicici,Divya Kumar,186.45,P2P,DEV_IND_00347_SM-S918B,Chandigarh,30.7266,76.7554,4G,0.88,0,503,1,1.0,2.41,8670.43,0.746,1,0,NONE
TXN_UPI_202608000067,2026-08-01 09:43:04,9,tanvi.verma523@ibl,Tanvi Verma,makemytrip.travel@bharatpe,MakeMyTrip Flight,19126.75,QR_SCAN,DEV_IND_00287_SM-S918B,Lucknow,26.8729,80.9226,4G,0.95,0,1915,1,1.0,3.74,13446.41,15.939,1,0,NONE
TXN_UPI_202608000068,2026-08-01 09:44:34,9,vikram.patel914@ibl,Vikram Patel,flipkart.pay@icici,Flipkart Payments,10135.44,BILL_PAY,DEV_IND_00754_Pixel8,Delhi,28.6079,77.1779,4G,0.9,0,371,1,1.0,3.11,11192.85,22.523,1,0,NONE
TXN_UPI_202608000069,2026-08-01 09:46:44,9,gaurav.pandey306@barodampay,Gaurav Pandey,uber.rides@bharatpe,Uber India,244.75,P2M,DEV_IND_00266_RedmiNote12,Chandigarh,30.7275,76.8283,5G,0.89,0,1989,1,1.0,4.72,16981.98,0.326,1,0,NONE
TXN_UPI_202608000070,2026-08-01 09:47:22,9,tanvi.joshi334@okaxis,Tanvi Joshi,rohan.pandey458@paytm,Rohan Pandey,3808.49,P2P,DEV_IND_00737_RedmiNote12,Jaipur,26.9374,75.8196,5G,0.95,0,1644,1,1.0,4.24,15252.76,0.762,1,0,NONE
TXN_UPI_202608000071,2026-08-01 09:48:26,9,simran.joshi214@oksbi,Simran Joshi,swiggy.orders@razorpay,Swiggy Delivery,725.14,BILL_PAY,DEV_IND_00597_OnePlus11,Chennai,13.0573,80.2705,4G,0.87,0,1566,0,1.0,2.82,10161.63,1.611,1,0,NONE
TXN_UPI_202608000072,2026-08-01 09:49:48,9,pooja.joshi843@okaxis,Pooja Joshi,zomato.pay@bharatpe,Zomato Online,573.56,BILL_PAY,DEV_IND_00697_Pixel8,Delhi,28.5963,77.1619,5G,0.91,0,1506,1,1.0,5.0,18001.14,0.765,1,0,NONE
TXN_UPI_202608000073,2026-08-01 09:52:00,9,manish.bose374@okaxis,Manish Bose,apollo.meds@razorpay,Apollo Pharmacy,1672.38,QR_SCAN,DEV_IND_00464_OnePlus11,Pune,18.5326,73.852,WIFI,0.96,1,1081,0,1.0,1.45,5211.7,6.69,1,0,NONE
TXN_UPI_202608000074,2026-08-01 09:54:35,9,aditya.rao896@apl,Aditya Rao,fastdrain.mule861@paytm,Mule Conduit 4,56694.29,P2P,DEV_IND_00132_OnePlus11,Bengaluru,12.9861,77.6067,VPN_SUSPICIOUS,0.49,1,944,1,1.0,2.08,7481.63,22.678,1,1,VELOCITY_DRAIN_BURST
TXN_UPI_202608000075,2026-08-01 09:56:27,9,meera.gupta926@barodampay,Meera Gupta,flipkart.pay@bharatpe,Flipkart Payments,1878.63,P2M,DEV_IND_00261_Pixel8,Chennai,13.1106,80.2492,5G,0.89,0,1762,1,35067.0,3.88,0.4,7.515,1,0,NONE
TXN_UPI_202608000076,2026-08-01 09:57:07,9,ananya.aggarwal189@okaxis,Ananya Aggarwal,chaipoint.pos@sbi,Chai Point Express,164.18,QR_SCAN,DEV_IND_00305_RedmiNote12,Lucknow,26.8098,80.9628,5G,0.92,0,1783,0,32047.0,4.42,0.5,0.033,1,0,NONE
TXN_UPI_202608000077,2026-08-01 09:59:22,9,rohan.nair513@ibl,Rohan Nair,pooja.verma397@okicici,Pooja Verma,6126.8,P2P,DEV_IND_00456_SM-S918B,Mumbai,19.035,72.87,4G,0.98,0,321,1,8482.0,4.63,1.96,1.225,1,0,NONE
TXN_UPI_202608000078,2026-08-01 10:02:13,10,karan.nair728@ibl,Karan Nair,indianoil.fuel@paytmqr,Indian Oil Petrol,3411.8,P2M,DEV_IND_00436_Pixel8,Pune,18.5418,73.8998,5G,0.87,0,198,1,1.0,5.12,18447.79,0.682,1,0,NONE
TXN_UPI_202608000079,2026-08-01 10:02:44,10,simran.joshi707@okhdfcbank,Simran Joshi,zomato.pay@bharatpe,Zomato Online,500.39,QR_SCAN,"DEV_IND_00297_iPhone15,2",Bengaluru,12.9516,77.5695,4G,0.91,0,40,1,10604.0,3.51,1.19,0.2,1,0,NONE
TXN_UPI_202608000080,2026-08-01 10:05:15,10,naveen.deshmukh887@oksbi,Naveen Deshmukh,divya.aggarwal362@ybl,Divya Aggarwal,1497.66,P2P,DEV_IND_00078_OnePlus11,Lucknow,26.8535,80.9215,4G,0.89,0,809,1,1.0,2.56,9224.61,1.248,1,0,NONE
TXN_UPI_202608000081,2026-08-01 10:07:33,10,karan.nair891@barodampay,Karan Nair,airtel.bills@bharatpe,Airtel Postpaid,432.42,P2M,DEV_IND_00016_Pixel8,Mumbai,19.0343,72.9154,4G,0.96,0,1423,0,1.0,6.1,21942.3,0.086,1,0,NONE
TXN_UPI_202608000082,2026-08-01 10:09:39,10,ritika.kumar641@ybl,Ritika Kumar,tatapower.bill@paytmqr,Tata Power Electricity,2377.34,QR_SCAN,"DEV_IND_00775_iPhone15,2",Ahmedabad,22.9936,72.5292,WIFI,0.88,0,1306,1,1.0,5.38,19372.35,5.283,1,0,NONE
TXN_UPI_202608000083,2026-08-01 10:10:16,10,harsh.bose518@okhdfcbank,Harsh Bose,mulelayer71@ibl,Layering Mule Hub,37728.09,P2P,DEV_EMULATOR_8539,Mumbai,19.0661,72.87,VPN_SUSPICIOUS,0.19,2,14,1,20476.0,441.02,77.54,50.304,1,1,MULE_FANOUT_SUSPICIOUS_VPN
TXN_UPI_202608000084,2026-08-01 10:13:14,10,aditya.iyer248@okaxis,Aditya Iyer,uber.rides@paytmqr,Uber India,958.27,QR_SCAN,DEV_IND_00762_RedmiNote12,Chennai,13.1001,80.2897,4G,0.93,0,1691,1,1.0,2.83,10171.23,1.278,1,0,NONE
TXN_UPI_202608000085,2026-08-01 10:13:56,10,naveen.deshmukh882@ybl,Naveen Deshmukh,zomato.pay@hdfcbank,Zomato Online,896.03,P2M,DEV_IND_00138_OnePlus11,Chandigarh,30.7314,76.7439,4G,0.94,0,1789,0,6776.0,3.4,1.81,0.358,1,0,NONE
TXN_UPI_202608000086,2026-08-01 10:16:23,10,divya.kumar306@ibl,Divya Kumar,flipkart.pay@bharatpe,Flipkart Payments,2922.53,P2M,"DEV_IND_00195_iPhone15,2",Delhi,28.6541,77.2329,4G,0.96,0,859,0,1.0,5.05,18162.45,11.69,1,0,NONE
